light,ax,ay,az,gx,gy,gz,label
2046,0.0874,0.0071,0.9966,-1.2207,1.6479,-11.9629,brightshaky
2037,0.1011,-0.0183,0.9956,-0.2441,0.3662,2.6245,brightshaky
2071,0.0975,-0.012,1.0134,0.8545,-1.1597,9.8267,brightshaky
2049,0.1058,-0.0347,1.0127,-1.4038,-1.0986,-12.207,brightshaky
2069,0.0649,-0.0106,1.0072,0.9766,2.1973,10.1929,brightshaky
2047,0.1111,-0.0155,1.0029,-1.5259,-2.8687,-10.8643,brightshaky
2068,0.0791,0.0096,1.0018,0.6104,1.2817,7.6904,brightshaky
2035,0.1112,-0.0342,0.9987,-2.9297,-1.8921,-26.4893,brightshaky
2059,0.1257,0.094,1.0143,4.2114,-3.479,57.5561,brightshaky
2047,0.1045,-0.0024,1.0123,-5.9814,-1.9531,-65.2466,brightshaky
2073,0.1044,0.0084,0.9917,0.9155,-4.2725,13.977,brightshaky
2079,0.0679,-0.0261,1.0081,-0.061,0.7935,-0.3662,brightshaky
2048,0.1223,-0.0242,0.9969,-2.0752,-4.7607,-16.1133,brightshaky
2064,0.1127,-0.0219,1.0128,1.2817,-2.1362,13.916,brightshaky
2043,0.0958,-0.01,1.0114,-0.3662,5.188,-0.3052,brightshaky
2038,0.0986,-0.0078,1.0026,-0.1831,-2.9297,0.3052,brightshaky
2047,0.0939,-0.0101,1.004,-0.5493,1.2817,-3.1738,brightshaky
2052,0.095,-0.0134,1.0012,-0.1221,1.709,-1.4648,brightshaky
2035,0.1036,-0.006,0.996,0.061,-1.77,2.7466,brightshaky
2053,0.0774,-0.009,1.0018,-0.3052,2.7466,-1.8311,brightshaky
2028,0.1144,-0.0125,1.0042,-1.8921,-2.5024,-17.395,brightshaky
2047,0.1083,-0.0306,1.0094,0.3662,-6.8359,10.0098,brightshaky
2038,0.0929,-0.0056,1.0106,-0.7935,8.8501,-1.6479,brightshaky
2027,0.1062,-0.0129,0.9922,-0.2441,-0.6714,-0.5493,brightshaky
2048,0.0914,-0.0243,1.0054,1.3428,-0.6714,19.6533,brightshaky
2031,0.0765,0.0071,0.985,-1.0986,5.9204,-11.9019,brightshaky
2027,0.0968,-0.0071,1.0052,-0.2441,0.3052,0.9766,brightshaky
2042,0.0905,-0.0088,1.0027,-0.3052,1.2817,-0.1221,brightshaky
2026,0.0913,-0.0092,0.9983,-1.4648,-1.6479,-15.3809,brightshaky
2039,0.1125,0.0535,1.0071,4.2114,0.7324,52.7344,brightshaky
